,Unnamed: 0,YEAR,WEEK,ILITOTAL_Region 1,u10_Region 1,v10_Region 1,t2m_Region 1,tp_Region 1,ILITOTAL_Region 2,u10_Region 2,v10_Region 2,t2m_Region 2,tp_Region 2,ILITOTAL_Region 3,u10_Region 3,v10_Region 3,t2m_Region 3,tp_Region 3,ILITOTAL_Region 4,u10_Region 4,v10_Region 4,t2m_Region 4,tp_Region 4,ILITOTAL_Region 5,u10_Region 5,v10_Region 5,t2m_Region 5,tp_Region 5,ILITOTAL_Region 6,u10_Region 6,v10_Region 6,t2m_Region 6,tp_Region 6,ILITOTAL_Region 7,u10_Region 7,v10_Region 7,t2m_Region 7,tp_Region 7,ILITOTAL_Region 8,u10_Region 8,v10_Region 8,t2m_Region 8,tp_Region 8,ILITOTAL_Region 9,u10_Region 9,v10_Region 9,t2m_Region 9,tp_Region 9,ILITOTAL_Region 10,u10_Region 10,v10_Region 10,t2m_Region 10,tp_Region 10,RESIDENT_POPULATION_Region 1,RESIDENT_POPULATION_DENSITY_Region 1,RESIDENT_POPULATION_Region 2,RESIDENT_POPULATION_DENSITY_Region 2,RESIDENT_POPULATION_Region 3,RESIDENT_POPULATION_DENSITY_Region 3,RESIDENT_POPULATION_Region 4,RESIDENT_POPULATION_DENSITY_Region 4,RESIDENT_POPULATION_Region 5,RESIDENT_POPULATION_DENSITY_Region 5,RESIDENT_POPULATION_Region 6,RESIDENT_POPULATION_DENSITY_Region 6,RESIDENT_POPULATION_Region 7,RESIDENT_POPULATION_DENSITY_Region 7,RESIDENT_POPULATION_Region 8,RESIDENT_POPULATION_DENSITY_Region 8,RESIDENT_POPULATION_Region 9,RESIDENT_POPULATION_DENSITY_Region 9,RESIDENT_POPULATION_Region 10,RESIDENT_POPULATION_DENSITY_Region 10
905,905,2015,5,1463,1.3436438707142857,-0.6194423859285715,261.7040614285714,0.0016565089707523,4355,1.4992469671428568,-0.2322873335714285,265.85119214285714,0.0020263416407142,4912,1.5510162540714283,0.1190738219047619,271.44319666666667,0.0014708942093795,4192,0.5737888986734694,0.1667513820408163,277.86190795918367,0.0014266863036375,1910,1.0801230745238095,-0.0531223333333333,264.9274647619048,0.0011300795080001,5336,0.6114816958,0.1967244542857143,278.8701334285714,0.0006147365613057,800,1.1753274063928574,0.1692158392857143,269.32574,0.0014968300736155,1210,1.2615801077142856,0.5277194827142857,270.0068166666667,0.0005844364059476,3620,0.5297381016785715,0.5613060595357142,284.6076575,0.0007814253958899,353,0.1902900829285714,0.9686515253882144,269.8393817857143,0.0023674447896428,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
906,906,2015,6,1271,-0.2116128585238094,-1.2625202916666665,262.70020785714286,0.0011704433716976,4041,0.1615969357142856,-0.9423867228571428,266.84768,0.0009055717610928,4246,0.8596468445238096,-0.6820378232619047,272.5389428571429,0.0005752311137606,3771,1.1097081800408162,-0.6078046591836735,279.2900497959184,0.0003804730507762,2191,1.039651961857143,-1.4490964549285712,266.725795,0.0004067266010475,4789,0.1068148194857142,-0.4048849871428571,282.85740342857144,8.348791019095715e-05,637,0.7690772462142856,-1.1200897004285717,274.45478142857144,4.423822791938572e-05,996,0.8303042425857144,-0.2670335446190476,272.57513619047614,0.0003069217900239,2990,0.2569198338214285,0.2154188862857141,285.4229192857143,0.0007641156051242,286,-0.0912466148214285,0.4232150861785714,270.89590357142856,0.0012158618935749,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
907,907,2015,7,973,1.8144087969880955,-1.0136522082142856,260.0356142857143,0.0008620463760642,2972,2.134970222642857,-0.8331620214285714,259.8962257142857,0.0007749106178071,3032,1.9703886228571428,-0.7870952209880953,261.7981573809524,0.0014717175912832,3531,0.6162075475102041,-0.5138486704081633,272.3793397959184,0.0021475453670603,2067,1.2374410557857145,-0.6560518637619047,258.9842657142857,0.0009117780595856,4436,0.2051361052,-0.1139703277142857,279.02236685714286,0.0013902005978805,541,0.3979187820321428,-0.9299250010714284,267.5996521428572,0.0008232365594106,907,1.3003960319047618,-1.155797399,268.81031880952384,0.0004593941996365,2459,0.2437551167857143,-0.2931469740357142,285.55059821428574,0.0002459802812914,191,0.019517428392857,-0.2209643628214285,271.7875810714286,0.0004335424441292,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
908,908,2015,8,890,1.5123755002380952,-0.4054732535714286,263.00757642857144,0.0010463660633259,2694,1.3745926067857142,-0.5668798757142857,264.3470978571429,0.0009983265078242,2518,0.712981921904762,-0.7854460502857142,268.4295978571429,0.0015092611648025,3367,-0.2677484914285714,-1.2150704681632654,275.5640940816327,0.0033077337939877,2005,1.4316617733333334,-0.8758574414380953,260.6770838095238,0.0002108335012618,3757,-0.8948804974285715,-1.165042908742857,274.1547494285714,0.0014432787881427,571,0.3607667839285714,-1.1322057764285711,265.8391971428572,0.0003181141200539,811,0.5440219303571429,-0.5902742676190477,264.143455952381,0.0006105968946273,2380,-0.216148649642857,-0.4105995083571429,282.07201035714286,0.0010658729113378,185,-0.0526396711071428,-0.135904309525,270.5897496428572,0.0008054477468012,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
909,909,2015,9,797,1.7851568795238095,0.1416575566904761,266.5770545238095,0.0019285210662723,2361,1.6503401871428571,0.0980382866642857,267.5979171428571,0.002240064581907,2433,0.9679002142857144,-0.0510155974523809,270.74833261904763,0.0033708699643928,3257,0.1181457990816326,-0.1065168264591836,280.3467357142857,0.0022704354496109,2084,1.981029114619048,0.347988105,266.0885721428572,0.001514119494538,3770,-0.1782775959428571,0.1080602894857142,278.0979851428571,0.0017092597407376,577,1.0477362310714289,0.0892926298214285,271.0944917857143,0.0005033816618735,796,1.535309845357143,-0.1230415842857142,266.9066919047619,0.0005897648977385,2187,-0.6416510997857141,-0.900563617142857,281.26275071428574,0.0016291557865599,179,0.1528083745321428,-0.03147628725,270.3555767857143,0.0003353367638649,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
910,910,2015,10,767,1.6459991326190475,-0.0104175088571428,271.8046857142857,0.0008204982203806,2465,1.3955649764285716,0.1505949477142857,274.9173814285714,0.0013918553552328,2284,0.7355301571428571,0.3250710356666667,278.95908428571425,0.0019810748512413,2546,-0.4752794424081633,0.6675110980612244,286.4640710204082,0.0029574436579556,2251,0.7718694638095238,0.5584731578571428,277.5927116666667,0.0012145712891061,3914,-0.6190485012857143,-0.1885583645999999,284.9616122857143,0.0030072205202571,491,-0.0664982719642857,0.2307561657857142,282.24925178571425,0.0006719956603212,672,1.1902586884523811,0.4841540682857143,277.0303580952381,5.640034432989976e-05,2248,-0.3243639575,-0.8710566012500001,286.0253017857143,0.0008107928440524,195,0.4293941302499999,0.4886795040357142,272.7534360714285,0.0007845114734914,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
911,911,2015,11,695,1.675149374,-1.307851074571429,269.8051592857143,0.001053255487864,2479,1.8659789714285715,-1.0710926792857145,273.7363128571428,0.0007210563793714,2340,1.590837011190476,-0.9710178225,278.69997785714287,0.0010443916569759,2202,0.3379322237142856,-0.6106725648367347,287.8597297959183,0.0007350130726767,2342,1.158467791952381,-0.4078252312857142,278.105450952381,0.0002826336225004,3503,-0.2307545134285714,0.0085537623714285,287.14257,0.0012238415616799,351,0.1815111075,0.4874562529285714,282.8465696428572,0.0002149400960051,674,0.4419375501904762,0.3587536165,278.92357928571425,0.0004066416155372,1939,-0.3756363039285714,-0.0075445825357143,287.8993175,0.000355416197301,170,0.1817663616485714,0.5022752802857142,274.1482335714286,0.0016324731676099,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
912,912,2015,12,728,1.6263632899999998,-0.7792771730952381,270.90481785714286,0.0012744781031262,2631,1.1604271232142858,-0.9236209335714286,273.0935185714286,0.0008661920531528,2685,0.609259819904762,-0.7875265445238094,277.74595547619043,0.0010594932770575,1897,-0.0849819120408163,-0.3303612788979591,286.08408897959185,0.001612965911557,2276,-0.378735539452381,-0.8265238197619048,273.498185,0.0013589700613713,3156,0.4760991499999999,0.1556554525714285,287.55012428571433,0.0010060902074528,318,-0.5768823250535714,-0.4754784588214286,280.19140892857143,0.0012571132982249,604,1.0236737422380953,0.2130249350714285,277.6099023809524,0.0004225236078271,1698,-0.0100212766428569,-0.2971119686785713,288.1680510714286,0.0004760502637206,129,0.6736332083571429,0.6078980101428572,274.915175,0.0014715923873321,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
913,913,2015,13,756,1.8438115123809524,0.0770747338095238,274.3731285714286,0.0011055288579809,2392,2.034251871428572,0.1416909378571428,277.0411835714286,0.0015002517139442,2626,1.9501724857142853,0.4084435311904761,280.9528935714286,0.0017422354275469,1632,0.7846794883673469,0.8339627444285714,287.98872775510205,0.0014522010834351,2183,1.6649191155714285,0.5868975360714286,279.39601785714285,0.0016146518895952,2643,0.3903475322,1.3150402322571428,290.87534685714286,0.0005274945931624,347,1.0552809514285717,0.4399512364285714,285.57912714285715,0.0011956374778396,587,2.068983773809524,-0.2502049164285714,279.696585,0.0002690766666249,1671,-0.1610652280357143,-0.0181869608857142,288.5628939285714,0.000473041369066,138,0.6864934328571427,0.2353931346428571,274.56064321428573,0.0005987997808892,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
914,914,2015,14,691,0.2265016438095237,0.035801671595238,275.12889976190473,0.0014464804421332,2145,0.2243368985714285,0.3862595467142857,279.15254357142857,0.0013079603256428,2494,0.6647295973809524,0.9110852736428572,284.64730952380955,0.0014589998766836,1591,0.1570996494693877,1.2384485590612244,291.6367810204082,0.0016110498941914,2009,-0.0629952245238094,0.467741475595238,281.12147428571427,0.0027531470684861,2404,0.4344608481714285,2.1915871645714287,291.4190625714285,0.0009101674151266,294,-0.0670373158928571,1.206999830535714,285.62538642857146,0.0015009348126249,493,-0.1405364841666666,0.5553082602857143,278.3953197619048,0.0005006421154297,1519,-0.0263924936428571,0.5618542239785714,285.83795250000003,0.0010230305279303,93,0.1846617538214285,0.1683713212428571,274.693215,0.0010772717213571,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
915,915,2015,15,621,1.550987099095238,0.3484588472857142,281.7571983333333,0.0004169420916008,1915,0.9518199507142858,0.3868429764285713,284.20707357142857,0.0007277153024352,2122,-0.0500450855,0.3948120049999999,287.0556919047619,0.0014265729266643,1288,-0.9195505873469388,0.4252302930734694,291.1912010204082,0.0035838777492734,1717,-0.224340533095238,0.8125120908571429,285.3804673809524,0.0007250228927032,2105,-0.2514239931428572,1.011285876,290.2203468571429,0.0026993057628285,232,-1.21365692175,1.364273541357143,287.89223142857145,0.0021429761061985,447,0.8171316031190475,0.1900374678571428,280.86827285714287,0.0008912329339223,1482,-0.1299862524142856,-0.8582145799999998,287.34965,0.0007324829302007,115,0.80193796475,-0.2840378978571428,275.39535107142854,0.0006915756915045,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
916,916,2015,16,551,0.8232214652380953,0.0018149669047619,279.11227904761904,0.0019278225173642,1948,1.2355892142857146,-0.0338672557142857,280.76962142857144,0.0024909688700097,1867,1.3550986202380952,0.0708092269285714,284.0687373809524,0.0032190850810371,1203,1.0802356310408163,0.6118964085714286,290.04786612244897,0.0026467107364407,1396,1.2012797352380953,-0.3918855452857142,280.24423047619047,0.0019663754385967,1769,0.8126031874285715,0.910079456,290.4841251428571,0.0014064669582285,194,0.9216256882142856,-0.5190450127142856,284.4731196428572,0.0018208487315106,526,0.4797140041666667,-0.6064187961904762,280.4085935714286,0.000652189029777,1280,-0.1902594739285715,0.6523357584642857,289.0602035714286,0.0008374170578035,126,0.5150297426071428,-0.0468827799285714,278.83634642857146,0.0006566786803742,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
917,917,2015,17,439,0.046275722547619,-1.4706628042857144,281.0568211904762,0.0002820781367737,1928,0.3991134892857143,-1.4168799985714284,283.29700142857143,0.0001161491790285,1947,0.5041290107857143,-1.277779451904762,284.52750833333334,0.0009002082803556,1134,0.1742319028367346,-1.2881630309591838,288.8812134693878,0.0009132254223248,1421,-0.1442986234047619,-1.5390913497619048,282.9761985714286,0.0001829800276953,1998,-0.3958316332571429,-0.4490611331428571,289.81820285714286,0.0014178354524071,205,-1.01704121,-0.3763344865,287.0570975,0.0002304835280842,492,0.3249294696428571,0.3107700304761905,283.6562309523809,0.0007531239494547,1392,-0.5223337869285715,-0.4777861107142857,290.3442039285714,0.001047287840175,139,0.4856277342857143,-0.1240481664285714,280.1021539285714,0.0003386023667413,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
918,918,2015,18,389,0.801267708952381,0.7510422038333333,287.8194295238096,8.683203234140714e-05,2174,0.4383038107142857,0.7660576635714286,290.11087714285713,0.0002028522685621,1805,0.1088646744504761,0.8518387671428571,292.0161252380953,0.000168871108574,1074,-0.6959145019795919,0.5630803836734694,294.1651846938776,8.778350729182042e-05,1251,0.0515089953333333,1.408122297904762,289.75412166666666,0.0011822819525094,1993,-0.3877351615542858,2.748320808571429,293.6495857142857,0.0020082793693999,142,-0.9858229858928572,1.8162046496428568,291.4663482142857,0.003386871070607,410,-0.7002853161904762,-0.0467561191428571,283.5095866666666,0.0016895413028067,1373,-0.2464158415714285,0.4767587375000001,288.9323021428571,0.0009327749278571,83,0.2208142735357142,-0.711315977142857,281.16331749999995,0.0003305681821521,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
